STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USC00420061,"ALPINE, UT US",2022,,997,997,91,49,49,21,0,151,17,164,63,4,12,6,0.82,99,31,28,21,17,15,32,23,23,20,11,5563,5563,16.72,54.3,51.4,64.1,38.7,,,,
USC00420061,"ALPINE, UT US",2023,,744,744,122,71,107,35,1,147,16,166,36,-1,11,7.6,1.48,100,25,25,24,17,14,31,26,14,14,14,6117,6117,28.34,117.4,51.2,63,39.4,,,,
USC00420061,"ALPINE, UT US",2024,,919,919,105,58,50,19,0,124,7,167,52,9,11,8.2,1.31,99,32,25,24,20,16,32,27,23,20,15,5386,5386,22.12,58.8,53,65.5,40.5,,,,
USC00420061,"ALPINE, UT US",2025,,932,932,81,42,37,16,0,106,7,170,55,4,5,5.6,1.1,98,32,25,22,16,16,26,26,24,18,13,5063,5063,15.98,44.5,54.3,66.8,41.8,,,,
USR0000NLPT,"NORTH LONG POINT UTAH, UT US",2022,,194,194,,,,,3,181,38,99,0,-1,,,,89,21,21,21,15,15,29,26,24,20,10,7303,7303,,,44.5,55.3,33.7,,,,
USR0000NLPT,"NORTH LONG POINT UTAH, UT US",2023,,186,186,,,,,2,177,52,84,1,-2,,,,91,30,26,15,15,15,28,28,24,17,14,8329,8329,,,43.8,54.4,33.2,,,,
USR0000NLPT,"NORTH LONG POINT UTAH, UT US",2024,,205,205,,,,,1,183,28,120,0,-2,,,,87,31,25,22,18,14,31,28,19,19,14,7203,7203,,,46.2,57,35.3,,,,
USR0000NLPT,"NORTH LONG POINT UTAH, UT US",2025,,236,236,,,,,1,149,30,103,0,0,,,,86,32,27,24,15,15,27,27,24,15,15,7016,7016,,,46.6,57.1,36.1,,,,
USR0000JENS,"JENSEN SPRING BERYL 12 NNE, UT US",2023,,848,848,,,,,1,148,5,172,51,-3,,,,106,32,28,24,20,15,32,27,19,19,14,,,,,52.2,65.9,38.4,,,,
USR0000JENS,"JENSEN SPRING BERYL 12 NNE, UT US",2024,,1492,1492,,,,,0,139,3,178,95,7,,,,108,32,25,21,16,16,28,28,23,19,16,4919,4919,,,55.6,69.7,41.5,,,,
USR0000JENS,"JENSEN SPRING BERYL 12 NNE, UT US",2025,,1139,1139,,,,,0,111,1,182,71,4,,,,103,32,28,19,19,,30,23,23,20,16,4689,4689,,,55.8,70.1,41.7,,,,
USR0000BUES,"BUES CANYON UTAH, UT US",2022,,1291,1291,,,,,0,139,18,153,67,7,,,,103,32,27,23,19,16,31,24,24,15,15,5707,5707,,,52,63.1,40.9,,,,
USR0000BUES,"BUES CANYON UTAH, UT US",2023,,963,963,,,,,0,142,14,158,36,1,,,,101,32,27,21,20,,31,27,22,20,14,5953,5953,,,51.8,62.3,41.3,,,,
USR0000BUES,"BUES CANYON UTAH, UT US",2024,,1319,1319,,,,,0,113,8,156,67,9,,,,104,32,25,24,,,32,28,24,18,9,5285,5285,,,54.1,65.2,43.1,,,,
USR0000BUES,"BUES CANYON UTAH, UT US",2025,,1359,1359,,,,,0,99,6,161,70,6,,,,101,30,25,22,19,,30,27,21,14,14,5113,5113,,,55.4,66.7,44.1,,,,
USS0012M23S,"MIDWAY VALLEY, UT US",2022,,0,0,74,74,199,,13,232,65,35,0,-8,65,,1.8,78,31,26,22,13,13,30,22,22,18,8,9585,9585,27.67,,37.7,48.8,26.6,,,,
USS0012M23S,"MIDWAY VALLEY, UT US",2023,,1,1,104,104,210,,8,225,80,28,0,-9,141,,2.3,81,32,27,21,17,12,30,25,22,20,15,10647,10647,45.06,,36.1,46.8,25.5,,,,
USS0012M23S,"MIDWAY VALLEY, UT US",2024,,2,2,89,89,214,,4,213,77,59,0,-2,85,,2.2,80,30,27,20,20,15,31,28,23,18,13,9754,9754,27.94,,38.8,49.5,28,,,,
